sku;image_url
6054015;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-15-arrayan-x-50-ml11-137117cc62ec72fcac16841729619926-1024-1024.jpg
6054017;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-17-anaranjado-x-50-ml11-cdab1da8ea4ae2e7dc16841725301467-1024-1024.jpg
6054019;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-19-durazno-x-50-ml11-2e6b83554d65c8092316841729618609-1024-1024.jpg
6054020;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-20-coral-x-50-ml11-ec5c79df0385f2132816841729620665-1024-1024.jpg
6054022;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-22-bermellon-x-50-ml11-2a9aa9267ce6562a6316841729620178-1024-1024.jpg
6054023;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-23-rojo-fuego-x-50-ml11-7e35a756a02e5c616916841729620365-1024-1024.jpg
6054026;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-26-fucsia-x-50-ml11-a4bf025c274f6abe8616841725302142-1024-1024.jpg
6054027;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-27-cereza-x-50-ml11-9871791a1018ae3da716841729622856-1024-1024.jpg
6054028;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-28-carmin-x-50-ml11-02713a332fad77306716841729621888-1024-1024.jpg
6054029;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-29-magenta-x-50-ml11-fde3586a4b6b70286b16841729623218-1024-1024.jpg
6054030;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-30-oxido-x-50-ml11-52e33053b9f376264a16841729624325-1024-1024.jpg
6054031;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-31-borravino-x-50-ml11-3d338a37238a46964316841725302695-1024-1024.jpg
6054032;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-32-lacre-x-50-ml11-4228b42890c83e6a6416841729623635-1024-1024.jpg
6054038;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-38-rosado-x-50-ml11-19f6d7634d541eceec16841729625019-1024-1024.jpg
6054040;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-40-lila-bebe-x-50-ml11-5fbaade0c0401e018516841725302362-1024-1024.jpg
6054042;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-42-lirio-x-50-ml11-bfe5fa16eaa546066316841729627704-1024-1024.jpg
6054043;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-43-lavanda-x-50-ml11-d8fb58e465878ef1a116841725302536-1024-1024.jpg
6054045;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-45-celeste-bebe-x-50-ml11-916fa09dffe594ae8116841725306829-1024-1024.jpg
6054046;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-46-celeste-bandera-x-50-ml11-359f615e43b0a3ef3016841725302706-1024-1024.jpg
6054047;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-47-celeste-bahia-x-50-ml11-d3223c32840aa5847f16841725306468-1024-1024.jpg
6054048;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-48-celeste-country-x-50-ml11-9c7ed0867844a1054316841729626442-1024-1024.jpg
6054049;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-49-cian-x-50-ml11-4b3ae18cb4f9aabecf16841729626305-1024-1024.jpg
6054050;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-50-azul-ultramar-x-50-ml11-34029cb10c650aa04916841725303188-1024-1024.jpg
6054051;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-51-azul-cobalto-x-50-ml11-78e7807e0038796fd116841725305501-1024-1024.jpg
6054052;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-52-calipso-x-50-ml11-499a895ac36a6e0ecc16841729627900-1024-1024.jpg
6054053;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-53-azul-talo-alfa-x-50-ml11-097d9f19347d4c276716841729628232-1024-1024.jpg
6054054;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-54-azul-talo-beta-x-50-ml11-32fc52c018813f041916841729628319-1024-1024.jpg
6054055;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-55-turquesa-x-50-ml11-01889745eba65389f216841725306354-1024-1024.jpg
6054056;https://d26lpennugtm8s.cloudfront.net/stores/001/182/684/products/acrilico-decorativo-premium-56-azul-victoriano-x-50-ml11-f961f739fbd125028c16841729628194-1024-1024.jpg
